ATA,DESCRIPCION,TIPO,BARRIO,CP,SENTIDO,CARRILES,LIMITE,COMENTARIO
A35,avenida burjassot,secundaria,campanar,46009,1,1,30,calle pequeña
A351,avda mediterraneo,terciaria,poblados maritimos,46011,1,1,30,calle pequeña
A372,bulevar sur,primaria,jesus,46017,2,9,50,avenida
A81,cortes valencianas desde general aviles hasta la safor,primaria,campanar,46015,2,12,50,avenida
A83,cuenca,residencial,extramuros,46007,1,3,30,calle pequeña
A82,cortes valencianas,primaria,campanar,46015,2,12,50,avenida
A84,cuenca,residencial,extramuros,46007,1,3,30,calle pequeña
A85,cuenca,residencial,extramuros,46007,1,3,30,calle pequeña
A105,filipinas,secundaria,l eixample,46006,2,6,50,calle larga
A108,gasco oliag,residencial,el pla del real,46010,1,3,30,calle pequeña
A11,alameda prolongacion,secundaria,camins al grau,46023,2,7,50,calle larga
A111,general aviles,primaria,campanar,46015,2,8,50,avenida
A112,general elio,secundaria,el pla del real,46010,2,6,50,calle larga
A122,gran via ramon y cajal,primaria,extramuros,46007,2,9,50,calle larga
A77,colon,residencial,ciutat vella,46004,1,3,30,calle larga
A8,paseo de alameda,primaria,el pla del real,46010,2,5,50,calle larga
A86,cuenca,residencial,extramuros,46007,1,3,30,calle pequeña
A91,doctor manuel candela,secundaria,camins al grau,46021,2,7,50,calle larga
A92,doctor manuel candela,secundaria,camins al grau,46021,2,7,50,calle larga
A95,doctor peset aleixandre,primaria,la saidia,46009,2,8,50,avenida
A96,doctor peset aleixandre,primaria,la saidia,46009,2,8,50,avenida
